RMSenergy;pcm_loudness;F0final_sma;voicingFinalClipped_sma;vowel
9.903245000000001e-05;0.01152409;0.0;0.0;0.0
0.00010683659999999999;0.03376738;0.0;0.0;0.0
0.0001003985;0.03376738;0.0;0.0;0.0
0.0001005838;0.03026834;0.0;0.0;0.0
0.00010425540000000001;0.03026834;0.0;0.0;0.0
0.00010018950000000001;0.03376738;0.0;0.0;0.0
0.00010198620000000001;0.02227816;0.0;0.0;0.0
0.0001020546;0.03026834;0.0;0.0;0.0
9.481635e-05;0.03026834;0.0;0.0;0.0
9.491453000000002e-05;0.03026834;0.0;0.0;0.0
9.177145e-05;0.03703953;0.0;0.0;0.0
9.084064000000001e-05;0.01746725;0.0;0.0;0.0
9.269291e-05;0.0;0.0;0.0;0.0
9.250431e-05;0.02227816;0.0;0.0;0.0
9.662856e-05;0.02227816;0.0;0.0;0.0
9.553805000000001e-05;0.02227816;0.0;0.0;0.0
9.455814000000001e-05;0.03026834;0.0;0.0;0.0
9.953667e-05;0.03026834;0.0;0.0;0.0
0.000228558;0.01152409;0.0;0.0;0.0
0.00023676939999999998;0.01152409;0.0;0.0;0.0
0.00023882080000000002;0.01152409;0.0;0.0;0.0
0.0002438141;0.02647541;0.0;0.0;0.0
0.0001339863;0.02227816;0.0;0.0;0.0
0.0001215675;0.02647541;0.0;0.0;0.0
0.0001253676;0.01746725;0.0;0.0;0.0
0.0001157895;0.03376738;0.0;0.0;0.0
0.0001297126;0.01746725;0.0;0.0;0.0
0.0001531789;0.03376738;0.0;0.0;0.0
0.0002464641;0.0;0.0;0.0;0.0
0.00041255059999999996;0.02647541;0.0;0.0;0.0
0.0008082394;0.02647541;0.0;0.0;0.0
0.001281783;0.01152409;0.0;0.0;0.0
0.003241483;0.02227816;0.0;0.0;0.0
0.005251883000000001;0.03703953;0.0;0.0;0.0
0.007135265;0.04857829;0.0;0.0;0.0
0.008151806;0.45511999999999997;0.0;0.0;1.0
0.01046951;0.13710129999999998;0.0;0.0;1.0
0.01286202;0.1880703;0.0;0.0;1.0
0.01328313;0.646914;0.0;0.0;1.0
0.01712584;0.1161089;0.0;0.0;1.0
0.01868686;0.5018338;0.0;0.0;1.0
0.01727342;0.4491314;0.0;0.0;1.0
0.01864991;0.3846381;0.0;0.0;1.0
0.01600241;0.2301426;0.0;0.0;0.0
0.01234699;0.24486079999999996;0.0;0.0;0.0
0.0129633;0.3580055;0.0;0.0;0.0
0.01137122;0.1633253;0.0;0.0;0.0
0.01091038;0.4043145;0.0;0.0;0.0
0.01171327;0.15491549999999998;0.0;0.0;0.0
0.01259832;0.12336969999999998;0.0;0.0;0.0
0.012863;0.1597573;0.0;0.0;0.0
0.01203818;0.5542184;0.0;0.0;0.0
0.01500237;0.1069737;0.0;0.0;0.0
0.01889334;0.1902115;0.0;0.0;0.0
0.02216494;0.3080671;0.0;0.0;0.0
0.02432161;0.4580947;0.0;0.0;0.0
0.02851543;0.1633253;0.0;0.0;0.0
0.03065326;0.46869859999999997;0.0;0.0;1.0
0.03003277;1.316906;0.0;0.0;1.0
0.03271536;0.10540050000000001;0.0;0.0;1.0
0.03369318;0.1190486;0.0;0.0;1.0
0.03434905;0.7886602;0.0;0.0;1.0
0.03500544;1.238406;0.0;0.0;1.0
0.03558042;0.3292406;0.0;0.0;1.0
